rankYest,countryYest,totalCasesYest,newCasesYest,totalDeathsYest,newDeathsYest,totalRecoveredYest,newRecoveredYest,activeCasesYest,seriousCriticalYest,casesPerMillionYest,deathsPerMillionYest,totalTestsYest,testsPerMillionYest,populationYest
147,Cabo Verde,63144,14,412,None,62639,10,93,23,111232,726,401622,707482,567678
148,Bhutan,62521,9,21,None,61564,None,936,None,79347,27,2303734,2923739,787941
149,Syria,57421,1,3163,None,54249,2,9,None,2965,163,146269,7553,19364809
150,Burundi,51018,None,38,None,50638,None,342,None,4041,3,345742,27386,12624840
151,Seychelles,50068,None,171,None,49606,None,291,None,503570,1720,None,None,99426
152,Gabon,48973,None,306,None,48617,None,50,None,21005,131,1621130,695306,2331533
153,Andorra,47446,None,158,None,46952,None,336,14,612499,2040,249838,3225256,77463
154,Papua New Guinea,46457,30,669,1,43982,None,1806,7,5000,72,249149,26813,9292169
155,Curaçao,45986,None,295,None,44720,None,971,3,277812,1782,496693,3000640,165529
156,Aruba,43693,None,236,None,42438,None,1019,2,406035,2193,177885,1653068,107609
157,Mayotte,41853,None,187,None,None,None,None,None,146207,653,176919,618038,286259
158,Mauritius,41272,None,1036,None,39522,None,714,None,32377,813,358675,281374,1274727
159,Tanzania,40806,None,845,None,None,None,None,7,645,13,None,None,63298550
160,Togo,39337,None,290,None,39041,None,6,None,4531,33,802952,92497,8680837
161,Guinea,38153,None,464,None,37218,None,471,8,2752,33,660107,47607,13865691
162,Isle of Man,38008,None,116,None,None,None,None,None,443335,1353,150753,1758422,85732
163,Bahamas,37491,None,833,None,36366,None,292,1,93607,2080,257839,643767,400516
164,Faeroe Islands,34658,None,28,None,None,None,None,5,703959,569,778000,15802409,49233
165,Lesotho,34490,None,706,None,25980,None,7804,None,15852,324,431221,198199,2175699
166,Haiti,33874,None,860,None,32915,None,99,None,2900,74,132422,11337,11680283
167,Mali,32764,None,743,None,31943,None,78,None,1526,35,779539,36302,21473764
168,Cayman Islands,31359,None,36,None,8553,None,22770,1,466118,535,222773,3311280,67277
169,Saint Lucia,29550,None,404,None,29095,None,51,None,159632,2182,210983,1139752,185113
170,Benin,27980,None,163,None,27746,None,71,5,2189,13,604310,47268,12784726
171,Somalia,27300,None,1361,None,13182,None,12757,None,1621,81,400466,23778,16841795
172,Congo,25375,None,386,None,24006,None,983,None,4377,67,347815,59991,5797805
173,Solomon Islands,24575,None,153,None,None,None,None,1,34077,212,None,None,721159
174,Timor-Leste,23375,11,138,None,23102,None,135,None,17069,101,278529,203391,1369429
175,San Marino,22615,None,120,None,22266,None,229,4,663488,3521,157634,4624732,34085
176,Micronesia,22203,None,55,None,None,None,None,1,188979,468,21923,186596,117489
177,Burkina Faso,21631,None,387,None,21143,None,101,None,979,18,248995,11265,22102838
178,Liechtenstein,21124,30,88,None,20947,37,89,None,550290,2292,112457,2929559,38387
179,Gibraltar,20207,None,110,None,16579,None,3518,None,599543,3264,534283,15852213,33704
180,Grenada,19613,None,237,None,19358,None,18,4,172840,2089,182981,1612523,113475
181,Bermuda,18519,None,152,None,18343,None,24,None,298988,2454,1019654,16462229,61939
182,Nicaragua,18491,None,225,None,4225,None,14041,None,2728,33,None,None,6779100
183,South Sudan,18352,None,138,None,18115,None,99,1,1580,12,410280,35313,11618511
184,Tajikistan,17786,None,125,None,17264,None,397,None,1786,13,None,None,9957464
185,Equatorial Guinea,17184,None,183,None,16880,None,121,5,11482,122,365697,244342,1496662
186,Tonga,16182,None,12,None,15638,None,532,None,150182,111,535009,4965327,107749
187,Samoa,15967,None,29,None,1605,None,14333,4,78951,143,187397,926612,202239
188,Monaco,15784,71,63,None,15605,102,116,4,396752,1584,78646,1976875,39783
189,Dominica,15760,None,74,None,15673,None,13,None,217848,1023,229344,3170187,72344
190,Djibouti,15690,None,189,None,15427,None,74,None,15441,186,305941,301094,1016097
191,Marshall Islands,15547,None,17,None,15390,None,140,22,258871,283,None,None,60057
192,CAR,15311,None,113,None,14615,None,583,2,3052,23,81294,16205,5016678
193,Gambia,12586,None,372,None,12189,None,25,None,4919,145,155686,60851,2558482
194,Saint Martin,12104,46,63,None,1399,None,10642,7,304656,1586,112382,2828643,39730
195,Greenland,11971,None,21,None,2761,None,9189,4,210117,369,164926,2894810,56973
196,Vanuatu,11952,None,14,None,11937,None,1,None,37137,44,24976,77606,321832
197,Yemen,11945,None,2159,None,9124,None,662,23,383,69,329592,10579,31154867
198,Caribbean Netherlands,11474,None,36,None,10476,None,962,None,430593,1351,30126,1130559,26647
199,Sint Maarten,10964,None,89,None,10873,None,2,None,249375,2024,62056,1411454,43966
200,Eritrea,10189,None,103,None,10086,None,0,None,2782,28,23693,6470,3662244
201,Niger,9931,None,312,None,8890,None,729,1,381,12,254538,9759,26083660
202,St. Vincent Grenadines,9500,None,116,None,9361,None,23,None,85163,1040,112841,1011564,111551
203,Antigua and Barbuda,9106,None,146,None,8954,None,6,1,91509,1467,18901,189943,99509
204,Comoros,8977,None,161,None,8799,None,17,None,9893,177,None,None,907419
205,Guinea-Bissau,8848,None,176,None,8642,None,30,6,4288,85,145231,70385,2063367
206,Liberia,8037,None,294,None,7720,None,23,2,1515,55,139824,26356,5305117
207,Sierra Leone,7760,None,126,None,None,None,None,None,934,15,259958,31296,8306436
208,Chad,7648,None,194,None,4874,None,2580,None,439,11,191341,10988,17413580
209,British Virgin Islands,7305,None,64,None,None,None,None,None,238757,2092,107339,3508269,30596
210,Saint Kitts and Nevis,6552,None,46,None,6482,None,24,None,121624,854,124861,2317778,53871
211,Turks and Caicos,6463,17,36,None,6395,3,32,4,162628,906,550265,13846280,39741
212,Cook Islands,6389,None,1,None,6384,None,4,None,363610,57,19690,1120596,17571
213,Sao Tome and Principe,6279,None,77,None,6202,None,0,None,27578,338,29036,127530,227679
214,Palau,5933,None,9,None,5747,None,177,1,325399,494,68050,3732244,18233
215,St. Barth,5382,34,6,None,None,None,None,None,541176,603,78646,7908095,9945
216,Nauru,4621,None,1,None,4609,None,11,None,423828,92,20509,1881042,10903
217,Anguilla,3904,None,12,None,3879,None,13,4,256336,788,51382,3373736,15230
218,Kiribati,3430,None,13,None,2703,None,714,3,27792,105,None,None,123419
219,Saint Pierre Miquelon,3306,None,2,None,2449,None,855,1,574058,347,25300,4393124,5759
220,Tuvalu,2805,None,None,None,None,None,2805,None,232471,None,None,None,12066
221,Falkland Islands,1930,None,None,None,1930,None,0,None,545352,None,8632,2439107,3539
222,Saint Helena,1806,None,None,None,2,None,1804,None,295339,None,None,None,6115
223,Montserrat,1403,None,8,None,1376,None,19,None,282578,1611,17762,3577442,4965
224,Macao,1142,102,6,None,804,3,332,None,1711,9,7850,11760,667490
225,Wallis and Futuna,761,None,7,None,438,None,316,None,69295,637,20508,1867419,10982
226,None,712,None,13,None,699,None,0,None,None,None,None,None,None
227,Niue,203,5,None,None,170,8,33,None,125154,None,None,None,1622
228,Vatican City,29,None,None,None,29,None,0,None,36295,None,None,None,799
229,Western Sahara,10,None,1,None,9,None,0,None,16,2,None,None,626161
230,None,9,None,2,None,7,None,0,None,None,None,None,None,None
